# 
# Barbour and Crowell (2016)
# Dynamic strains at PBO borehole strainmeters
# 
# 	'Station'	station identifier
# 	'Earthquake'	earthquake identifier
# 	'Mw'		moment magnitude
# 	'D.km'		hypocentral distance in km
# 	'logE'		log10 peak rms strain
#  
 Station Earthquake   Mw  D.km   logE     
 B073    2013.144_5.7 5.7 477.73 -6.920830
 B901    2009.274_5.1 5.1 221.87 -6.923294
 B086    2009.083_5.0 5.0  86.49 -6.929152
 B032    2012.044_5.6 5.6 281.38 -6.929938
 B089    2010.098_5.4 5.4 195.29 -6.930148
 B065    2013.144_5.7 5.7 388.66 -6.937187
 B066    2013.144_5.7 5.7 377.22 -6.945036
 B087    2008.040_5.1 5.1 155.42 -6.948157
 B943    2012.313_6.2 6.2 455.91 -6.949363
 B916    2010.188_5.5 5.5 326.80 -6.951597
 B088    2010.095_5.0 5.0 109.87 -6.954389
 B935    2008.333_5.9 5.9 294.98 -6.959875
 B033    2012.044_5.6 5.6 244.30 -6.969000
 B054    2010.010_6.5 6.5 372.31 -6.971559
 B007    2012.313_6.2 6.2 405.83 -6.978604
 B086    2010.128_5.0 5.0 129.72 -6.978854
 B900    2009.274_5.1 5.1 210.33 -6.979291
 B916    2008.341_5.1 5.1 190.88 -6.979428
 B917    2009.274_5.1 5.1 121.35 -6.980314
 B031    2012.044_5.6 5.6 281.09 -6.985437
 B093    2010.095_5.0 5.0 134.82 -6.987588
 B093    2008.341_5.1 5.1 141.89 -6.990222
 B088    2010.128_5.0 5.0 119.30 -6.993771
 B079    2008.211_5.5 5.5 293.62 -6.994819
 B076    2008.211_5.5 5.5 324.86 -6.997461
 B928    2012.313_6.2 6.2 272.65 -6.999524
 B918    2009.276_4.9 4.9  60.15 -7.001658
 B011    2012.313_6.2 6.2 397.67 -7.003960
 B031    2013.144_5.7 5.7 428.00 -7.009481
 B027    2012.044_5.6 5.6 377.10 -7.010951
 B003    2012.313_6.2 6.2 360.15 -7.013077
 B010    2012.313_6.2 6.2 397.44 -7.016055
 B058    2013.144_5.7 5.7 383.48 -7.017827
 B030    2013.144_5.7 5.7 438.96 -7.019618
 B089    2009.083_5.0 5.0  93.66 -7.026595
 B072    2013.144_5.7 5.7 491.72 -7.026844
 B081    2010.098_5.4 5.4 211.75 -7.028377
 B900    2010.166_5.8 5.8 499.69 -7.030835
 B036    2013.144_5.7 5.7 319.37 -7.035755
 B088    2008.040_5.1 5.1 148.25 -7.036611
 B036    2008.121_5.4 5.4 188.90 -7.039503
 B927    2012.313_6.2 6.2 296.97 -7.039696
 B028    2012.044_5.6 5.6 376.67 -7.042375
 B075    2008.211_5.5 5.5 330.13 -7.047297
 B918    2008.341_5.1 5.1 165.20 -7.049505
 B916    2010.166_5.8 5.8 421.27 -7.049987
 B084    2010.098_5.4 5.4 188.24 -7.053648
 B076    2013.144_5.7 5.7 478.93 -7.054828
 B035    2008.121_5.4 5.4 188.65 -7.055796
 B005    2012.313_6.2 6.2 405.84 -7.057598
 B900    2009.276_5.2 5.2 215.48 -7.060009
 B918    2010.166_5.8 5.8 392.64 -7.061053
 B079    2013.149_4.9 4.9 141.93 -7.063015
 B084    2008.040_5.1 5.1 154.99 -7.063270
 B019    2012.313_6.2 6.2 462.29 -7.063723
 B017    2012.313_6.2 6.2 447.97 -7.065963
 B033    2013.144_5.7 5.7 381.18 -7.068235
 B082    2010.095_5.0 5.0 123.94 -7.073123
 B033    2008.121_5.4 5.4 277.31 -7.075029
 B088    2010.257_5.0 5.0 191.45 -7.075999
 B935    2013.284_5.2 5.2 121.48 -7.076362
 B078    2013.144_5.7 5.7 490.98 -7.077149
 B082    2008.040_5.1 5.1 162.77 -7.077992
 B087    2010.257_5.0 5.0 200.03 -7.086252
 B093    2008.040_5.1 5.1 173.79 -7.094229
 B093    2010.128_5.0 5.0 145.86 -7.097197
 B089    2010.095_5.0 5.0 124.07 -7.100523
 B035    2010.035_5.9 5.9 276.35 -7.104063
 B036    2010.035_5.9 5.9 276.64 -7.105171
 B033    2010.035_5.9 5.9 362.79 -7.107203
 B022    2012.313_6.2 6.2 494.31 -7.108153
 B032    2013.144_5.7 5.7 428.09 -7.108257
 B901    2010.188_5.5 5.5 418.23 -7.110416
 B089    2008.040_5.1 5.1 162.91 -7.113527
 B030    2012.044_5.6 5.6 323.86 -7.118383
 B082    2009.083_5.0 5.0  93.59 -7.118437
 B926    2012.313_6.2 6.2 346.16 -7.118775
 B081    2010.142_5.1 5.1 151.32 -7.120928
 B001    2012.313_6.2 6.2 433.03 -7.123084
 B054    2013.144_5.7 5.7 281.55 -7.123841
 B031    2008.121_5.4 5.4 316.05 -7.123940
