# 
# Barbour and Crowell (2016)
# Dynamic strains at PBO borehole strainmeters
# 
# 	'Station'	station identifier
# 	'Earthquake'	earthquake identifier
# 	'Mw'		moment magnitude
# 	'D.km'		hypocentral distance in km
# 	'logE'		log10 peak rms strain
#  
 Station Earthquake   Mw  D.km   logE     
 B035    2006.290_4.9 4.9 332.18 -8.162767
 B019    2008.255_5.2 5.2 418.71 -8.163937
 B203    2009.308_5.3 5.3 496.26 -8.165776
 B031    2011.039_5.4 5.4 332.70 -8.166294
 B900    2009.083_5.0 5.0 477.61 -8.166770
 B918    2010.257_5.0 5.0 475.46 -8.167075
 B916    2010.128_4.9 4.9 434.40 -8.167475
 B058    2011.300_4.9 4.9 335.81 -8.168608
 B039    2012.203_5.4 5.4 270.90 -8.169178
 B088    2013.149_4.9 4.9 339.72 -8.170027
 B057    2009.276_5.2 5.2 461.55 -8.171840
 B039    2008.103_5.5 5.5 496.51 -8.172761
 B033    2014.072_5.5 5.5 360.49 -8.175347
 B036    2013.335_5.5 5.5 324.51 -8.175787
 B028    2013.284_5.2 5.2 436.83 -8.176683
 B045    2009.308_5.3 5.3 402.37 -8.176873
 B040    2012.203_5.4 5.4 294.59 -8.178249
 B066    2011.107_4.8 4.8 310.86 -8.178668
 B017    2008.255_5.2 5.2 418.01 -8.180106
 B916    2011.300_4.9 4.9 449.12 -8.182538
 B032    2012.171_5.3 5.3 333.86 -8.185446
 B022    2008.319_5.3 5.3 410.66 -8.187599
 B078    2011.107_4.8 4.8 326.15 -8.188284
 B918    2010.128_5.0 5.0 406.87 -8.190264
 B035    2008.117_5.0 5.0 437.98 -8.191514
 B017    2010.209_5.2 5.2 412.09 -8.194178
 B036    2010.209_5.2 5.2 254.31 -8.195830
 B027    2013.335_5.5 5.5 458.97 -8.196773
 B040    2012.203_5.2 5.2 300.67 -8.197362
 B935    2008.319_5.3 5.3 469.92 -8.197637
 B065    2011.300_4.9 4.9 338.82 -8.197759
 B012    2008.255_5.2 5.2 306.72 -8.199087
 B036    2012.203_5.4 5.4 286.64 -8.199213
 B917    2010.128_4.9 4.9 338.08 -8.200774
 B036    2011.300_4.9 4.9 408.56 -8.200914
 B054    2013.284_5.2 5.2 403.92 -8.202637
 B023    2012.035_5.6 5.6 477.01 -8.203319
 B935    2009.308_5.3 5.3 421.99 -8.203692
 B024    2012.171_5.3 5.3 384.55 -8.203902
 B036    2009.308_5.3 5.3 312.12 -8.205803
 B935    2011.039_5.4 5.4 451.26 -8.206402
 B033    2012.171_5.3 5.3 354.88 -8.206511
 B084    2010.263_4.9 4.9 209.22 -8.210033
 B933    2014.072_5.5 5.5 343.96 -8.210404
 B089    2013.149_4.9 4.9 333.56 -8.213928
 B918    2011.300_4.9 4.9 476.58 -8.214264
 B039    2012.203_5.2 5.2 277.08 -8.214348
 B093    2013.149_4.9 4.9 318.99 -8.216058
 B036    2011.039_5.4 5.4 346.33 -8.216235
 B020    2013.058_5.2 5.2 439.66 -8.219324
 B022    2008.075_5.7 5.7 472.24 -8.219332
 B040    2011.286_5.6 5.6 442.54 -8.220065
 B065    2011.107_4.8 4.8 310.24 -8.220620
 B035    2013.335_5.5 5.5 324.32 -8.220957
 B040    2013.030_5.4 5.4 479.03 -8.221622
 B036    2014.072_5.5 5.5 316.71 -8.222190
 B075    2011.107_4.8 4.8 324.26 -8.222791
 B028    2012.203_5.2 5.2 499.07 -8.223067
 B918    2010.095_5.0 5.0 389.10 -8.224536
 B031    2012.203_5.2 5.2 401.34 -8.224939
 B027    2012.203_5.2 5.2 499.50 -8.226076
 B024    2012.221_5.3 5.3 497.44 -8.227252
 B036    2013.058_5.2 5.2 285.73 -8.227777
 B203    2013.058_5.2 5.2 496.85 -8.228716
 B040    2010.133_5.3 5.3 362.45 -8.228879
 B039    2013.030_5.4 5.4 492.20 -8.228943
 B067    2011.107_4.8 4.8 315.12 -8.229967
 B079    2011.300_4.9 4.9 436.85 -8.230081
 B058    2009.274_5.1 5.1 338.91 -8.230236
 B024    2010.127_5.1 5.1 495.79 -8.232004
 B065    2008.121_5.4 5.4 490.07 -8.232458
 B027    2008.319_5.3 5.3 397.56 -8.233046
 B035    2010.209_5.2 5.2 254.33 -8.234160
 B036    2008.319_5.3 5.3 364.34 -8.235383
 B067    2008.121_5.4 5.4 484.87 -8.236710
 B030    2012.171_5.3 5.3 387.15 -8.237777
 B935    2013.058_5.2 5.2 390.02 -8.239047
 B026    2010.133_5.3 5.3 418.79 -8.240733
 B045    2011.239_4.8 4.8 498.48 -8.246437
 B917    2011.107_4.8 4.8 365.39 -8.246983
 B022    2009.308_5.3 5.3 390.98 -8.249567
 B035    2014.072_5.5 5.5 316.53 -8.252844
 B031    2012.171_5.3 5.3 333.56 -8.253563
 B035    2012.203_5.2 5.2 291.49 -8.254916
 B027    2013.284_5.2 5.2 437.26 -8.258542
 B918    2010.128_4.9 4.9 405.94 -8.259580
 B023    2009.308_5.3 5.3 448.93 -8.259761
 B933    2013.030_5.4 5.4 495.96 -8.261468
 B057    2012.203_5.4 5.4 359.12 -8.262304
 B067    2009.276_4.9 4.9 337.53 -8.262503
 B001    2010.277_5.3 5.3 481.98 -8.263878
 B026    2009.308_5.3 5.3 346.32 -8.264792
 B031    2008.181_5.4 5.4 484.77 -8.266010
 B058    2011.107_4.8 4.8 313.88 -8.266224
 B040    2010.209_5.2 5.2 362.16 -8.268829
 B054    2011.107_4.8 4.8 313.13 -8.270840
 B036    2012.203_5.2 5.2 291.78 -8.272451
 B004    2008.118_5.2 5.2 337.83 -8.274329
 B006    2008.255_5.2 5.2 420.21 -8.274607
 B032    2008.300_5.0 5.0 388.87 -8.275304
 B007    2005.323_5.3 5.3 401.92 -8.275747
 B900    2011.107_4.8 4.8 329.55 -8.275758
 B082    2013.149_4.9 4.9 333.63 -8.277960
 B024    2010.133_5.3 5.3 447.54 -8.281006
 B075    2011.300_4.9 4.9 413.56 -8.281142
 B916    2010.095_5.0 5.0 417.19 -8.282575
 B065    2009.276_4.9 4.9 329.26 -8.283324
 B031    2008.300_5.0 5.0 388.52 -8.284747
 B935    2013.089_4.9 4.9 244.08 -8.286841
 B032    2008.199_5.2 5.2 496.62 -8.287869
 B005    2005.323_5.3 5.3 401.94 -8.288390
 B030    2013.089_4.9 4.9 492.41 -8.290397
 B934    2014.072_5.5 5.5 377.45 -8.290898
 B022    2008.181_5.4 5.4 481.53 -8.291262
 B028    2008.319_5.3 5.3 397.31 -8.292307
 B941    2013.216_5.5 5.5 483.47 -8.294154
 B901    2009.083_5.0 5.0 488.50 -8.294413
 B058    2008.121_5.4 5.4 480.82 -8.296982
 B079    2011.107_4.8 4.8 333.23 -8.297935
 B022    2012.171_5.3 5.3 403.75 -8.304651
 B022    2013.058_5.2 5.2 396.78 -8.306809
 B057    2008.300_5.0 5.0 308.35 -8.306921
 B039    2010.133_5.3 5.3 365.01 -8.307092
 B081    2013.149_4.9 4.9 319.59 -8.307586
 B001    2005.323_5.3 5.3 429.53 -8.308648
 B918    2010.142_5.1 5.1 406.26 -8.311067
 B010    2005.323_5.3 5.3 400.44 -8.312901
 B040    2011.107_4.8 4.8 488.60 -8.318412
 B934    2011.286_5.6 5.6 493.61 -8.318426
 B031    2008.199_5.2 5.2 496.39 -8.320295
 B028    2012.171_5.3 5.3 385.21 -8.321489
 B933    2011.286_5.6 5.6 460.23 -8.322468
 B040    2009.308_5.3 5.3 412.49 -8.324602
 B032    2008.181_5.4 5.4 485.02 -8.325282
 B033    2009.219_5.0 5.0 349.10 -8.325717
 B035    2009.219_5.0 5.0 260.24 -8.328603
 B026    2008.181_5.4 5.4 464.80 -8.330154
 B035    2013.058_5.2 5.2 285.66 -8.332441
 B927    2012.047_4.9 4.9 247.10 -8.334315
 B035    2011.039_5.4 5.4 346.27 -8.334401
 B058    2009.276_5.2 5.2 343.05 -8.335547
 B039    2011.286_5.6 5.6 455.18 -8.336264
 B007    2008.255_5.2 5.2 419.95 -8.337420
 B054    2009.276_4.9 4.9 420.83 -8.338120
 B935    2011.169_5.2 5.2 339.67 -8.339186
 B028    2011.169_5.2 5.2 442.60 -8.339564
 B054    2008.300_5.0 5.0 342.15 -8.339976
 B024    2009.241_5.1 5.1 431.77 -8.340698
 B011    2005.323_5.3 5.3 400.68 -8.342994
 B024    2014.072_5.5 5.5 483.24 -8.345345
 B019    2008.255_5.1 5.1 417.77 -8.345809
 B084    2013.149_4.9 4.9 345.54 -8.346112
 B035    2008.319_5.3 5.3 364.28 -8.349523
 B010    2012.047_4.9 4.9 344.45 -8.351070
 B011    2012.047_4.9 4.9 344.68 -8.355048
 B057    2012.203_5.2 5.2 361.59 -8.356160
 B057    2011.107_4.8 4.8 340.88 -8.359177
 B933    2013.058_5.2 5.2 405.40 -8.360929
 B001    2008.255_5.2 5.2 447.31 -8.364227
 B013    2008.118_5.2 5.2 457.17 -8.365877
 B031    2008.101_5.3 5.3 429.64 -8.365961
 B019    2011.039_4.8 4.8 495.26 -8.366332
 B027    2011.169_5.2 5.2 442.96 -8.367735
 B012    2008.118_5.2 5.2 251.81 -8.367879
 B036    2009.219_5.0 5.0 260.53 -8.368994
 B040    2008.319_5.3 5.3 464.95 -8.370516
 B933    2011.169_5.2 5.2 337.94 -8.370748
 B031    2008.166_5.2 5.2 479.81 -8.376608
 B058    2009.276_4.9 4.9 339.27 -8.376747
 B010    2008.118_5.2 5.2 404.11 -8.377736
 B045    2012.171_5.3 5.3 435.48 -8.378228
 B035    2007.045_5.2 5.2 360.08 -8.378642
 B035    2011.300_4.9 4.9 408.46 -8.378917
 B028    2008.125_5.1 5.1 340.52 -8.382994
 B039    2008.319_5.3 5.3 477.92 -8.383425
 B026    2012.171_5.3 5.3 364.42 -8.384353
 B935    2010.209_5.2 5.2 413.13 -8.384850
 B020    2008.101_5.3 5.3 477.27 -8.385048
 B030    2009.219_5.0 5.0 429.54 -8.385409
 B039    2009.308_5.3 5.3 425.71 -8.386435
 B013    2012.047_4.9 4.9 402.08 -8.388914
 B032    2008.166_5.2 5.2 480.06 -8.390055
 B045    2010.209_5.2 5.2 401.41 -8.391886
 B057    2013.089_4.9 4.9 430.34 -8.392719
 B934    2009.308_5.3 5.3 470.37 -8.394154
 B040    2011.039_5.4 5.4 446.35 -8.394856
 B020    2011.039_4.8 4.8 463.95 -8.395620
 B009    2005.323_5.3 5.3 400.46 -8.396067
 B030    2008.125_5.1 5.1 332.01 -8.398050
 B013    2008.255_5.1 5.1 461.16 -8.399031
 B031    2009.219_5.0 5.0 381.79 -8.399838
 B022    2007.208_5.3 5.3 499.38 -8.399859
 B022    2008.093_5.2 5.2 486.74 -8.400271
 B032    2008.154_5.2 5.2 484.72 -8.401680
 B031    2009.241_5.1 5.1 430.59 -8.401941
 B057    2013.284_5.2 5.2 370.83 -8.401971
 B017    2012.047_4.9 4.9 396.05 -8.403145
 B012    2013.007_4.8 4.8 270.33 -8.404568
 B001    2012.047_4.9 4.9 379.15 -8.405886
 B027    2011.142_4.9 4.9 384.14 -8.407166
 B033    2011.300_4.9 4.9 467.21 -8.407523
 B033    2008.125_5.1 5.1 288.72 -8.409186
 B031    2008.125_5.1 5.1 274.35 -8.409561
 B026    2012.221_5.3 5.3 490.81 -8.409982
 B036    2012.171_5.3 5.3 349.24 -8.410138
 B017    2008.255_5.1 5.1 417.16 -8.412406
 B022    2008.255_5.1 5.1 423.50 -8.412712
 B007    2008.118_5.2 5.2 408.09 -8.414841
 B933    2008.319_5.3 5.3 482.11 -8.415104
 B030    2008.101_5.3 5.3 478.45 -8.415159
 B039    2013.058_5.2 5.2 395.95 -8.415424
 B032    2009.219_5.0 5.0 382.14 -8.417396
 B934    2011.039_5.4 5.4 497.37 -8.419873
 B007    2012.047_4.9 4.9 351.96 -8.421911
 B032    2012.270_4.8 4.8 276.88 -8.424381
 B030    2011.169_5.2 5.2 422.12 -8.427800
 B026    2014.072_5.5 5.5 455.25 -8.431961
 B005    2008.255_5.2 5.2 420.04 -8.432358
 B928    2008.118_5.2 5.2 280.79 -8.433052
 B020    2009.241_5.1 5.1 473.15 -8.433645
 B014    2008.255_5.2 5.2 393.68 -8.434762
 B003    2008.255_5.2 5.2 373.08 -8.435526
 B012    2008.255_5.1 5.1 306.71 -8.436000
 B018    2008.255_5.2 5.2 458.58 -8.436568
 B022    2010.133_5.3 5.3 474.63 -8.437152
 B011    2008.118_5.2 5.2 404.34 -8.437912
 B943    2008.118_5.2 5.2 457.13 -8.439078
 B032    2011.169_5.2 5.2 362.07 -8.439728
 B935    2012.046_5.9 5.9 469.91 -8.440926
 B032    2008.101_5.3 5.3 429.91 -8.442321
 B031    2008.154_5.2 5.2 484.47 -8.442556
 B001    2008.118_5.2 5.2 435.56 -8.443865
 B022    2008.154_5.2 5.2 485.26 -8.445709
 B022    2007.283_5.0 5.0 428.86 -8.450085
 B927    2008.118_5.2 5.2 308.70 -8.450423
 B026    2010.072_5.0 5.0 465.98 -8.451243
 B019    2012.047_4.9 4.9 411.75 -8.452187
 B039    2011.039_5.4 5.4 459.05 -8.455039
 B012    2010.277_5.3 5.3 288.69 -8.455083
 B032    2008.125_5.1 5.1 274.71 -8.455358
 B039    2011.107_4.8 4.8 462.94 -8.455902
 B013    2008.238_5.1 5.1 470.96 -8.456597
 B040    2011.169_5.2 5.2 391.66 -8.457355
 B040    2013.058_5.2 5.2 383.98 -8.459017
 B039    2011.169_5.2 5.2 390.68 -8.461549
 B005    2012.047_4.9 4.9 351.96 -8.461829
 B066    2008.300_5.0 5.0 463.52 -8.462935
 B006    2005.323_5.3 5.3 402.14 -8.463999
 B031    2011.169_5.2 5.2 361.66 -8.464316
 B020    2009.349_4.7 4.7 480.53 -8.467940
 B019    2011.142_4.9 4.9 477.54 -8.468714
 B935    2011.107_4.8 4.8 473.70 -8.469063
 B066    2008.019_4.9 4.9 387.34 -8.469291
 B022    2008.101_5.3 5.3 446.14 -8.469893
 B032    2008.093_5.2 5.2 494.09 -8.470070
 B027    2009.219_5.0 5.0 479.92 -8.471180
 B014    2012.047_4.9 4.9 351.43 -8.472230
 B917    2010.345_4.8 4.8 390.02 -8.477958
 B927    2008.255_5.2 5.2 369.02 -8.478226
 B022    2008.166_5.2 5.2 478.89 -8.478813
 B039    2010.209_5.2 5.2 383.59 -8.479911
 B026    2007.176_5.0 5.0 477.09 -8.481138
 B004    2010.277_5.3 5.3 384.69 -8.481193
 B026    2007.283_5.0 5.0 394.76 -8.481890
 B933    2009.308_5.3 5.3 437.18 -8.482376
 B067    2008.019_4.9 4.9 397.84 -8.482990
 B031    2012.270_4.8 4.8 276.53 -8.484431
 B943    2008.238_5.1 5.1 470.92 -8.485137
 B079    2009.083_5.0 5.0 494.92 -8.485523
 B032    2009.241_5.1 5.1 430.85 -8.486351
 B017    2008.118_5.2 5.2 442.99 -8.486583
 B024    2012.232_5.0 5.0 451.04 -8.488328
 B022    2008.118_5.2 5.2 483.04 -8.488859
 B933    2011.039_5.4 5.4 464.00 -8.492540
 B019    2010.325_5.0 5.0 481.03 -8.493439
 B014    2008.118_5.2 5.2 402.44 -8.494459
 B024    2010.072_5.0 5.0 474.31 -8.497140
 B054    2012.203_5.2 5.2 397.09 -8.498501
 B020    2012.047_4.9 4.9 419.26 -8.498806
 B020    2010.325_5.0 5.0 449.16 -8.499267
 B022    2009.241_5.1 5.1 442.56 -8.501030
 B003    2012.047_4.9 4.9 306.33 -8.501671
 B035    2012.171_5.3 5.3 349.18 -8.502639
 B057    2013.149_4.9 4.9 455.95 -8.506889
 B917    2010.105_4.9 4.9 422.56 -8.507958
 B027    2008.125_5.1 5.1 340.83 -8.508720
 B011    2008.255_5.2 5.2 436.88 -8.508894
 B933    2011.239_4.8 4.8 461.67 -8.510594
 B005    2008.118_5.2 5.2 408.11 -8.510920
 B027    2007.119_4.8 4.8 370.51 -8.513884
 B057    2009.276_4.9 4.9 457.40 -8.515815
 B033    2008.101_5.3 5.3 456.39 -8.518028
 B030    2009.241_5.1 5.1 478.78 -8.523377
 B918    2010.345_4.8 4.8 457.92 -8.523488
 B032    2013.089_4.9 4.9 435.40 -8.523582
 B024    2011.039_4.8 4.8 411.51 -8.525531
 B031    2013.089_4.9 4.9 435.00 -8.525807
 B026    2011.039_4.8 4.8 394.27 -8.527649
 B026    2008.255_5.2 5.2 466.60 -8.527708
 B019    2009.241_5.0 5.0 499.99 -8.528217
 B012    2012.179_5.1 5.1 297.59 -8.528411
 B003    2008.118_5.2 5.2 361.71 -8.529023
 B023    2011.039_5.4 5.4 466.95 -8.529203
 B010    2008.255_5.2 5.2 436.67 -8.529416
 B031    2008.093_5.2 5.2 493.84 -8.530692
 B004    2012.179_5.1 5.1 393.74 -8.530975
 B935    2012.171_5.3 5.3 456.22 -8.535148
 B009    2012.047_4.9 4.9 344.47 -8.535219
 B026    2008.125_5.1 5.1 342.70 -8.535247
 B079    2008.341_5.1 5.1 360.62 -8.538440
 B927    2010.277_5.3 5.3 340.58 -8.539168
 B918    2010.105_4.9 4.9 490.51 -8.539401
 B054    2012.203_5.4 5.4 394.43 -8.541519
 B054    2013.089_4.9 4.9 466.79 -8.543122
 B926    2008.118_5.2 5.2 354.09 -8.543279
 B926    2012.047_4.9 4.9 293.69 -8.543477
 B040    2013.089_4.9 4.9 369.86 -8.545019
 B030    2012.270_4.8 4.8 333.93 -8.545728
 B031    2008.194_5.0 5.0 289.95 -8.546736
 B943    2012.047_4.9 4.9 402.03 -8.551046
 B020    2008.125_5.1 5.1 437.33 -8.552517
 B026    2008.101_5.3 5.3 422.65 -8.555081
 B927    2012.179_5.1 5.1 349.20 -8.557326
 B026    2008.154_5.2 5.2 467.48 -8.557551
 B022    2010.072_5.0 5.0 481.77 -8.557697
 B026    2013.335_5.5 5.5 479.56 -8.557848
 B926    2008.255_5.2 5.2 395.06 -8.557975
 B036    2011.169_5.2 5.2 316.73 -8.558875
 B933    2011.107_4.8 4.8 486.46 -8.559432
 B934    2013.058_5.2 5.2 438.55 -8.563721
 B066    2009.219_5.0 5.0 465.07 -8.563765
 B028    2011.142_4.9 4.9 383.87 -8.563983
 B057    2009.219_5.0 5.0 309.76 -8.565622
 B020    2011.142_4.9 4.9 445.23 -8.566140
 B934    2011.239_4.8 4.8 428.94 -8.569432
 B033    2011.169_5.2 5.2 362.33 -8.571274
 B036    2008.101_5.3 5.3 458.67 -8.571455
 B934    2011.169_5.2 5.2 371.39 -8.571639
 B007    2008.255_5.1 5.1 419.43 -8.575092
 B030    2008.194_5.0 5.0 346.77 -8.575753
 B004    2008.255_5.1 5.1 354.41 -8.576507
 B036    2008.194_5.0 5.0 291.94 -8.576727
 B017    2012.232_5.0 5.0 419.26 -8.577222
 B024    2012.277_4.9 4.9 471.64 -8.578953
 B033    2012.270_4.8 4.8 291.52 -8.579740
 B916    2011.239_4.8 4.8 320.04 -8.579986
 B026    2007.208_5.2 5.2 493.62 -8.580032
 B935    2011.286_5.6 5.6 447.37 -8.580144
 B065    2008.019_4.9 4.9 402.20 -8.580651
 B033    2008.194_5.0 5.0 305.83 -8.580820
 B039    2013.089_4.9 4.9 351.13 -8.581310
 B024    2010.127_5.0 5.0 491.02 -8.581316
 B040    2012.171_5.3 5.3 449.77 -8.582629
 B933    2012.171_5.3 5.3 469.28 -8.582683
 B028    2008.101_5.3 5.3 466.60 -8.586897
 B028    2012.270_4.8 4.8 341.66 -8.588250
 B009    2008.255_5.2 5.2 436.64 -8.592908
 B020    2013.222_4.8 4.8 473.00 -8.594491
 B027    2008.101_5.3 5.3 466.78 -8.596167
 B035    2007.345_4.9 4.9 328.75 -8.596240
 B018    2008.255_5.1 5.1 457.75 -8.596518
 B036    2008.125_5.1 5.1 272.93 -8.597432
 B928    2012.232_5.0 5.0 322.41 -8.597760
 B022    2011.039_4.8 4.8 427.82 -8.599487
 B011    2010.277_5.3 5.3 444.66 -8.601002
 B026    2009.241_5.1 5.1 420.21 -8.601980
 B023    2012.188_4.8 4.8 474.17 -8.602855
 B024    2012.270_4.8 4.8 368.15 -8.605422
 B928    2008.255_5.1 5.1 328.02 -8.606387
 B916    2010.345_4.8 4.8 485.78 -8.606486
 B026    2012.277_4.9 4.9 463.33 -8.611622
 B032    2008.145_5.1 5.1 487.32 -8.613365
 B917    2010.263_4.9 4.9 414.40 -8.613656
 B036    2007.345_4.9 4.9 329.02 -8.613828
 B039    2012.171_5.3 5.3 462.86 -8.614978
 B027    2012.270_4.8 4.8 341.96 -8.616723
 B035    2011.169_5.2 5.2 316.54 -8.617722
 B022    2006.084_5.1 5.1 496.72 -8.618510
 B019    2012.232_5.0 5.0 421.07 -8.621232
 B006    2012.047_4.9 4.9 352.16 -8.622558
 B024    2012.277_5.0 5.0 468.55 -8.628079
 B028    2007.283_5.0 5.0 423.06 -8.628202
 B001    2008.255_5.1 5.1 446.77 -8.629519
 B928    2012.179_5.1 5.1 328.28 -8.630549
 B032    2008.194_5.0 5.0 290.28 -8.630952
 B010    2010.277_5.3 5.3 444.42 -8.632444
 B058    2008.019_4.9 4.9 393.81 -8.632692
 B012    2012.232_5.0 5.0 300.24 -8.632873
 B010    2012.179_5.1 5.1 453.30 -8.636750
 B934    2011.107_4.8 4.8 456.37 -8.638571
 B028    2008.194_5.0 5.0 352.93 -8.638925
 B024    2009.241_5.0 5.0 428.62 -8.639161
 B020    2012.232_5.0 5.0 416.39 -8.641464
 B028    2007.119_4.8 4.8 370.24 -8.642757
 B024    2007.119_4.8 4.8 380.18 -8.643160
 B009    2008.118_5.2 5.2 404.13 -8.643708
 B917    2011.239_4.8 4.8 377.48 -8.643774
 B045    2010.325_5.0 5.0 449.30 -8.646823
 B019    2013.007_4.8 4.8 475.24 -8.647850
 B020    2008.118_5.2 5.2 459.23 -8.649216
 B026    2012.270_4.8 4.8 342.30 -8.653543
 B024    2011.169_5.2 5.2 488.96 -8.653560
 B024    2011.142_4.9 4.9 386.15 -8.653632
 B011    2012.179_5.1 5.1 453.54 -8.656266
 B933    2010.209_5.2 5.2 440.68 -8.657262
 B017    2010.277_5.3 5.3 498.05 -8.657721
 B024    2012.047_4.9 4.9 477.33 -8.658043
 B027    2009.241_5.1 5.1 466.14 -8.658671
 B026    2010.127_5.0 5.0 483.52 -8.659328
 B005    2008.255_5.1 5.1 419.51 -8.659785
 B934    2010.209_5.2 5.2 471.88 -8.660531
 B022    2008.145_5.1 5.1 484.70 -8.662370
 B027    2007.283_5.0 5.0 423.30 -8.663310
 B031    2008.145_5.1 5.1 487.07 -8.663597
 B001    2013.007_4.8 4.8 455.42 -8.664199
 B020    2011.217_4.8 4.8 496.32 -8.665274
 B014    2010.209_5.2 5.2 455.28 -8.666528
 B022    2010.325_5.0 5.0 411.30 -8.667210
 B022    2008.125_5.1 5.1 393.81 -8.667335
 B033    2009.241_5.1 5.1 458.01 -8.667608
 B001    2012.179_5.1 5.1 490.98 -8.667953
 B018    2012.047_4.9 4.9 431.97 -8.672367
 B020    2011.067_5.1 5.1 499.30 -8.672679
 B027    2008.194_5.0 5.0 353.23 -8.674993
 B036    2009.241_5.1 5.1 461.74 -8.676092
 B019    2012.270_4.8 4.8 469.28 -8.676273
 B019    2012.188_4.8 4.8 481.04 -8.676675
 B023    2011.142_4.9 4.9 465.95 -8.676729
 B014    2008.255_5.1 5.1 392.99 -8.677586
 B035    2006.132_4.8 4.8 413.46 -8.678150
 B926    2012.179_5.1 5.1 401.40 -8.678966
 B009    2010.277_5.3 5.3 444.45 -8.684323
 B054    2013.149_4.9 4.9 424.25 -8.685242
 B022    2006.147_4.9 4.9 436.26 -8.685299
 B026    2012.277_5.0 5.0 460.97 -8.689940
 B020    2013.007_4.8 4.8 479.08 -8.690172
 B018    2008.118_5.2 5.2 480.45 -8.690468
 B035    2008.125_5.1 5.1 272.85 -8.690731
 B926    2010.277_5.3 5.3 392.54 -8.691470
 B045    2012.270_4.8 4.8 363.90 -8.691513
 B006    2008.118_5.2 5.2 408.31 -8.693706
 B026    2008.105_5.1 5.1 465.59 -8.694458
 B026    2010.325_5.0 5.0 374.12 -8.695340
 B024    2010.325_5.0 5.0 393.17 -8.696465
 B030    2011.039_4.8 4.8 428.77 -8.699431
 B022    2012.047_4.9 4.9 447.42 -8.702251
 B031    2010.072_5.0 5.0 488.26 -8.703962
 B026    2010.127_5.1 5.1 488.51 -8.704881
 B067    2008.300_5.0 5.0 473.36 -8.706581
 B026    2008.255_5.1 5.1 465.40 -8.709263
 B022    2007.042_5.0 5.0 419.07 -8.711062
 B927    2008.255_5.1 5.1 369.01 -8.711564
 B022    2009.241_5.0 5.0 439.74 -8.713373
 B928    2012.047_4.9 4.9 220.21 -8.714109
 B020    2009.241_5.0 5.0 470.66 -8.717642
 B022    2008.105_5.1 5.1 481.57 -8.719483
 B926    2013.007_4.8 4.8 372.86 -8.719877
 B032    2010.072_5.0 5.0 488.50 -8.720682
 B033    2011.039_4.8 4.8 399.33 -8.721722
 B032    2011.142_4.9 4.9 330.81 -8.721929
 B036    2012.270_4.8 4.8 276.75 -8.723403
 B928    2010.277_5.3 5.3 319.35 -8.723878
 B027    2009.241_5.0 5.0 461.79 -8.725089
 B026    2009.241_5.0 5.0 416.74 -8.730584
 B040    2008.125_5.1 5.1 371.00 -8.731191
 B019    2008.194_5.0 5.0 473.82 -8.731401
 B026    2008.194_5.0 5.0 349.75 -8.733584
 B022    2008.238_5.1 5.1 496.32 -8.734406
 B003    2008.255_5.1 5.1 372.58 -8.736301
 B045    2013.201_4.8 4.8 379.54 -8.736973
 B026    2007.119_4.8 4.8 357.72 -8.736993
 B032    2008.105_5.1 5.1 487.64 -8.737167
 B918    2011.239_4.8 4.8 330.70 -8.739675
 B039    2008.125_5.1 5.1 383.00 -8.739967
 B058    2008.300_5.0 5.0 469.43 -8.740980
 B203    2012.270_4.8 4.8 491.49 -8.741138
 B009    2012.179_5.1 5.1 453.34 -8.743025
 B010    2008.255_5.1 5.1 436.34 -8.744142
 B006    2008.255_5.1 5.1 419.69 -8.745916
 B020    2012.188_4.8 4.8 449.37 -8.746543
 B004    2012.232_5.0 5.0 351.89 -8.747320
 B031    2013.201_4.8 4.8 282.98 -8.750203
 B022    2010.127_5.0 5.0 497.58 -8.750606
 B026    2008.145_5.1 5.1 467.81 -8.754136
 B028    2011.039_4.8 4.8 423.57 -8.754707
 B035    2008.101_5.3 5.3 458.63 -8.756590
 B027    2011.039_4.8 4.8 423.80 -8.758115
 B004    2013.007_4.8 4.8 357.84 -8.759275
 B065    2008.300_5.0 5.0 479.87 -8.759561
 B032    2011.039_4.8 4.8 376.77 -8.764550
 B017    2013.007_4.8 4.8 463.26 -8.765294
 B031    2008.105_5.1 5.1 487.40 -8.765956
 B928    2013.007_4.8 4.8 299.61 -8.766821
 B020    2012.270_4.8 4.8 436.06 -8.767221
 B054    2009.219_5.0 5.0 343.24 -8.767641
 B035    2008.194_5.0 5.0 291.86 -8.767665
 B028    2013.201_4.8 4.8 344.42 -8.768970
 B011    2008.255_5.1 5.1 436.55 -8.771008
 B020    2008.201_5.0 5.0 499.96 -8.771544
 B022    2007.323_5.0 5.0 423.69 -8.773286
 B033    2011.142_4.9 4.9 350.97 -8.774063
 B028    2007.323_5.0 5.0 415.75 -8.775990
 B033    2013.201_4.8 4.8 300.06 -8.777014
 B026    2011.169_5.2 5.2 460.68 -8.779383
 B031    2011.039_4.8 4.8 376.48 -8.781692
 B030    2013.201_4.8 4.8 339.35 -8.782338
 B926    2008.255_5.1 5.1 394.84 -8.786400
 B020    2008.194_5.0 5.0 440.75 -8.787408
 B024    2007.042_5.0 5.0 400.67 -8.787900
 B004    2008.238_5.1 5.1 351.56 -8.788038
 B030    2009.241_5.0 5.0 474.07 -8.791081
 B026    2011.067_5.1 5.1 458.69 -8.796719
