#  
# Join of  'bsm_station_times.txt'  and  'earthquakes.txt'
#
 year mo dy hr mi sec sta4 sta16            geodkm jday eqnum nlat  elon    depkm Mw  eqid        
 2008 11 14  1 48 40  B023 cataln023bor2008 472.23 319   92   43.40 -127.68 13.7  5.3 2008.319_5.3
 2009 11  4 12 38 29  B023 cataln023bor2008 448.93 308  106   43.24 -127.07 12.9  5.3 2009.308_5.3
 2010  7 28 16 12  7  B023 cataln023bor2008 353.23 209  126   43.72 -126.03 12.0  5.2 2010.209_5.2
 2010 11 21 23 46 36  B023 cataln023bor2008 472.84 325  131   43.40 -127.69 21.0  5.0 2010.325_5.0
 2011  2  8 22  2  2  B023 cataln023bor2008 466.95 039  134   43.31 -127.48 18.3  5.4 2011.039_5.4
 2011  2  8  7 44 35  B023 cataln023bor2008 490.90 039  133   43.46 -128.05 15.6  4.8 2011.039_4.8
 2011  5 22  7 21 36  B023 cataln023bor2008 465.95 142  140   43.30 -127.45 19.9  4.9 2011.142_4.9
 2011  9  1  2  6 22  B023 cataln023bor2008 479.68 244  144   43.34 -127.73 23.9  4.8 2011.244_4.8
 2011  9  9 19 41 36  B023 cataln023bor2008 466.09 252  145   49.27 -127.17 25.1  6.5 2011.252_6.5
 2011 10 13  4 14  1  B023 cataln023bor2008 466.13 286  146   43.29 -127.44 13.7  5.6 2011.286_5.6
 2012  2  4 20  5 32  B023 cataln023bor2008 477.01 035  148   48.66 -128.17 12.0  5.6 2012.035_5.6
 2012  2 15  3 31 22  B023 cataln023bor2008 472.21 046  150   43.40 -127.68 17.9  5.9 2012.046_5.9
 2012  2 16  6 37 32  B023 cataln023bor2008 483.59 047  151   48.80 -128.13 14.3  4.9 2012.047_4.9
 2012  4 11 22 41 48  B023 cataln023bor2008 486.95 102  152   43.40 -127.92 19.6  6.0 2012.102_6.0
 2012  6 19 13 40 58  B023 cataln023bor2008 464.35 171  153   43.36 -127.50 18.5  5.3 2012.171_5.3
 2012  7  6 17 50 26  B023 cataln023bor2008 474.17 188  157   43.45 -127.77 24.4  4.8 2012.188_4.8
 2012  8 19 10  4  3  B023 cataln023bor2008 482.20 232  163   47.57 -129.04 14.7  5.0 2012.232_5.0
 2012  8 19  8  7 36  B023 cataln023bor2008 480.38 232  162   47.42 -129.08 15.0  5.6 2012.232_5.6
 2012  9 26  7 42 41  B023 cataln023bor2008 447.10 270  167   43.02 -126.69 12.4  4.8 2012.270_4.8
 2013  1 30  3 14 29  B023 cataln023bor2008 476.44 030  174   43.47 -127.83 12.0  5.4 2013.030_5.4
 2013  2 27 22 25 43  B023 cataln023bor2008 451.88 058  176   43.03 -126.80 12.0  5.2 2013.058_5.2
 2013  7 20 17 20 56  B023 cataln023bor2008 443.90 201  180   43.13 -126.81 16.2  4.8 2013.201_4.8
 2004  1 25 15 12 29  B024 kuntza024bor2006 485.62 025    1   49.05 -127.88 12.0  5.4 2004.025_5.4
 2004  7 12 16 45  4  B024 kuntza024bor2006 164.19 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004  7 15 12  6 54  B024 kuntza024bor2006 494.06 197    5   49.48 -127.17 18.7  5.7 2004.197_5.7
 2004 12 22 20 47 27  B024 kuntza024bor2006 440.26 357   17   42.40 -127.03 12.0  5.1 2004.357_5.1
 2005  2 28 12 49 26  B024 kuntza024bor2006 491.61 059   18   48.08 -129.24 12.0  5.0 2005.059_5.0
 2005  2 28 13 50 26  B024 kuntza024bor2006 487.22 059   19   48.07 -129.18 12.0  4.9 2005.059_4.9
 2005  3  1  0 32 27  B024 kuntza024bor2006 487.62 060   20   48.13 -129.13 12.0  5.0 2005.060_5.0
 2005  3  1 21 34 30  B024 kuntza024bor2006 491.66 060   21   48.07 -129.25 12.0  5.0 2005.060_5.0
 2005  3  7  2 34 35  B024 kuntza024bor2006 418.75 066   22   42.51 -126.78 16.2  5.3 2005.066_5.3
 2005  3  7  2 48 22  B024 kuntza024bor2006 421.06 066   23   42.49 -126.79 15.9  5.2 2005.066_5.2
 2005 11 19 12 40  6  B024 kuntza024bor2006 497.57 323   33   48.52 -128.88 16.0  5.3 2005.323_5.3
 2006  1 11 10  2 35  B024 kuntza024bor2006 381.48 011   34   43.33 -127.41 17.9  5.5 2006.011_5.5
 2006  3 25 20 14  5  B024 kuntza024bor2006 476.31 084   37   41.73 -126.30 16.1  5.0 2006.084_5.0
 2006  3 25  3 16  7  B024 kuntza024bor2006 467.19 084   36   41.82 -126.30 15.7  5.1 2006.084_5.1
 2006  5 27 21 50 49  B024 kuntza024bor2006 422.21 147   40   43.62 -128.37 16.7  4.9 2006.147_4.9
 2006  8 31 15 22 20  B024 kuntza024bor2006 436.57 243   41   43.81 -128.74 14.2  4.8 2006.243_4.8
 2007  1 31 15 24 50  B024 kuntza024bor2006 436.58 031   43   42.43 -127.01 16.9  4.8 2007.031_4.8
 2007  1 31 15 38 36  B024 kuntza024bor2006 415.01 031   44   42.60 -126.88 13.8  4.6 2007.031_4.6
 2007  2 11 15 34 49  B024 kuntza024bor2006 400.67 042   45   43.33 -127.73 20.6  5.0 2007.042_5.0
 2007  2 14 22 12 60  B024 kuntza024bor2006 390.12 045   46   43.39 -127.63 12.0  5.2 2007.045_5.2
 2007  4 29  0 49  6  B024 kuntza024bor2006 380.18 119   48   43.20 -127.21 15.4  4.8 2007.119_4.8
 2007  7 27 23 22 51  B024 kuntza024bor2006 494.00 208   53   44.25 -129.81 12.0  5.3 2007.208_5.3
 2007 10 10  0 15 15  B024 kuntza024bor2006 412.28 283   54   43.43 -128.03 17.7  5.0 2007.283_5.0
 2007 11 19 20 32 50  B024 kuntza024bor2006 399.80 323   56   43.35 -127.74 19.0  5.8 2007.323_5.8
 2007 11 19 22 43  3  B024 kuntza024bor2006 406.65 323   57   43.42 -127.93 19.3  5.0 2007.323_5.0
 2008  1 10  1 37 24  B024 kuntza024bor2006 422.50 010   59   43.51 -128.27 16.8  6.3 2008.010_6.3
 2008  3 15 14 44 38  B024 kuntza024bor2006 446.69 075   68   42.35 -127.07 12.9  5.7 2008.075_5.7
 2008  4  2  5 55 42  B024 kuntza024bor2006 479.46 093   69   44.08 -129.52 12.0  5.2 2008.093_5.2
 2008  4 10  8  4 31  B024 kuntza024bor2006 434.80 101   70   43.83 -128.73 12.0  5.3 2008.101_5.3
 2008  4 12 12  5 15  B024 kuntza024bor2006 405.97 103   71   43.42 -127.92 12.3  5.5 2008.103_5.5
 2008  4 14  5 38 34  B024 kuntza024bor2006 474.02 105   72   44.07 -129.44 12.0  5.1 2008.105_5.1
 2008  5  4  2 51 14  B024 kuntza024bor2006 368.88 125   76   42.99 -126.65 12.0  5.1 2008.125_5.1
 2008  5 24 23 23  8  B024 kuntza024bor2006 476.71 145   77   44.01 -129.44 12.3  5.1 2008.145_5.1
 2008  6  2 17 50 25  B024 kuntza024bor2006 476.84 154   78   43.96 -129.41 12.0  5.2 2008.154_5.2
 2008  6 14  6 47  9  B024 kuntza024bor2006 470.60 166   79   44.00 -129.35 13.6  5.2 2008.166_5.2
 2008  6 29 19 33 41  B024 kuntza024bor2006 473.62 181   80   44.03 -129.41 12.0  5.4 2008.181_5.4
 2008  7 12 15 46  2  B024 kuntza024bor2006 374.58 194   81   43.05 -126.87 18.5  5.0 2008.194_5.0
 2008  7 17 18 21 42  B024 kuntza024bor2006 472.38 199   82   44.09 -129.43 17.1  5.0 2008.199_5.0
 2008  7 17 22 36 18  B024 kuntza024bor2006 474.05 199   83   44.12 -129.47 12.0  5.4 2008.199_5.4
 2008  7 17 22 43  2  B024 kuntza024bor2006 480.33 199   84   44.11 -129.55 19.1  5.2 2008.199_5.2
 2008  7 17 22 51 57  B024 kuntza024bor2006 481.94 199   85   44.09 -129.56 14.1  5.7 2008.199_5.7
 2008  7 19  1  0 23  B024 kuntza024bor2006 467.06 201   86   44.18 -129.41 13.5  5.0 2008.201_5.0
 2008  9 11 23 13 34  B024 kuntza024bor2006 444.59 255   89   47.45 -129.03 12.0  5.1 2008.255_5.1
 2008  9 11 23 26 28  B024 kuntza024bor2006 445.75 255   90   47.46 -129.04 12.0  5.2 2008.255_5.2
 2008 11 14  1 48 40  B024 kuntza024bor2006 392.46 319   92   43.40 -127.68 13.7  5.3 2008.319_5.3
 2009  4 16  4 18 32  B024 kuntza024bor2006 478.47 106   97   43.94 -129.42 20.2  5.0 2009.106_5.0
 2009  8 29 10 11 16  B024 kuntza024bor2006 431.77 241   99   43.90 -128.74 12.0  5.1 2009.241_5.1
 2009  8 29 10 24 12  B024 kuntza024bor2006 428.62 241  100   43.88 -128.68 18.9  5.0 2009.241_5.0
 2009  8 29 13  5 54  B024 kuntza024bor2006 430.59 241  101   43.95 -128.76 17.0  4.8 2009.241_4.8
 2009 11  4 12 38 29  B024 kuntza024bor2006 369.16 308  106   43.24 -127.07 12.9  5.3 2009.308_5.3
 2009 12 15  3 34  5  B024 kuntza024bor2006 437.98 349  107   43.81 -128.76 12.0  4.7 2009.349_4.7
 2010  3 13  4 53 41  B024 kuntza024bor2006 474.31 072  111   44.08 -129.45 12.0  5.0 2010.072_5.0
 2010  5  7 17 46 14  B024 kuntza024bor2006 490.68 127  117   44.11 -129.69 14.9  5.5 2010.127_5.5
 2010  5  7 18 41 57  B024 kuntza024bor2006 495.79 127  118   44.13 -129.77 12.6  5.1 2010.127_5.1
 2010  5  7 20  2 19  B024 kuntza024bor2006 491.02 127  119   44.12 -129.70 12.6  5.0 2010.127_5.0
 2010  5 13  5 35 14  B024 kuntza024bor2006 447.54 133  122   42.20 -126.77 14.7  5.3 2010.133_5.3
 2010  7 28 16 12  7  B024 kuntza024bor2006 274.07 209  126   43.72 -126.03 12.0  5.2 2010.209_5.2
 2010 10 13 10 50 26  B024 kuntza024bor2006 496.10 286  130   41.81 -127.04 20.9  4.8 2010.286_4.8
 2010 11 21 23 46 36  B024 kuntza024bor2006 393.17 325  131   43.40 -127.69 21.0  5.0 2010.325_5.0
 2011  2  8 22  2  2  B024 kuntza024bor2006 387.12 039  134   43.31 -127.48 18.3  5.4 2011.039_5.4
 2011  2  8  7 44 35  B024 kuntza024bor2006 411.51 039  133   43.46 -128.05 15.6  4.8 2011.039_4.8
 2011  3  6 21 35 48  B024 kuntza024bor2006 477.94 065  136   44.15 -129.54 12.0  5.0 2011.065_5.0
 2011  3  6 22 23 17  B024 kuntza024bor2006 476.13 065  137   44.23 -129.56 12.9  5.0 2011.065_5.0
 2011  3  8  1 26 59  B024 kuntza024bor2006 466.34 067  138   44.18 -129.40 12.0  5.1 2011.067_5.1
 2011  5 22  7 21 36  B024 kuntza024bor2006 386.15 142  140   43.30 -127.45 19.9  4.9 2011.142_4.9
 2011  6 18 10 49 12  B024 kuntza024bor2006 488.96 169  141   41.93 -127.14 12.0  5.2 2011.169_5.2
 2011  8  5 15 10  2  B024 kuntza024bor2006 457.14 217  142   43.89 -129.09 17.4  4.8 2011.217_4.8
 2011  9  1  2  6 22  B024 kuntza024bor2006 400.03 244  144   43.34 -127.73 23.9  4.8 2011.244_4.8
 2011  9  9 19 41 36  B024 kuntza024bor2006 474.42 252  145   49.27 -127.17 25.1  6.5 2011.252_6.5
 2011 10 13  4 14  1  B024 kuntza024bor2006 386.24 286  146   43.29 -127.44 13.7  5.6 2011.286_5.6
 2012  2  4 20  5 32  B024 kuntza024bor2006 468.45 035  148   48.66 -128.17 12.0  5.6 2012.035_5.6
 2012  2 13 21  7  6  B024 kuntza024bor2006 497.11 044  149   41.16 -123.79 29.3  5.6 2012.044_5.6
 2012  2 15  3 31 22  B024 kuntza024bor2006 392.50 046  150   43.40 -127.68 17.9  5.9 2012.046_5.9
 2012  2 16  6 37 32  B024 kuntza024bor2006 477.33 047  151   48.80 -128.13 14.3  4.9 2012.047_4.9
 2012  4 11 22 41 48  B024 kuntza024bor2006 407.42 102  152   43.40 -127.92 19.6  6.0 2012.102_6.0
 2012  6 19 13 40 58  B024 kuntza024bor2006 384.55 171  153   43.36 -127.50 18.5  5.3 2012.171_5.3
 2012  7  6 17 50 26  B024 kuntza024bor2006 394.65 188  157   43.45 -127.77 24.4  4.8 2012.188_4.8
 2012  8  8 17 45 40  B024 kuntza024bor2006 497.44 221  160   44.20 -129.83 12.0  5.3 2012.221_5.3
 2012  8  9  4 18 18  B024 kuntza024bor2006 495.43 222  161   44.29 -129.85 18.2  4.8 2012.222_4.8
 2012  8 19 10  4  3  B024 kuntza024bor2006 451.04 232  163   47.57 -129.04 14.7  5.0 2012.232_5.0
 2012  8 19  8  7 36  B024 kuntza024bor2006 446.61 232  162   47.42 -129.08 15.0  5.6 2012.232_5.6
 2012  9 14 20 24 21  B024 kuntza024bor2006 473.15 258  166   43.93 -129.34 19.3  4.9 2012.258_4.9
 2012  9 26  7 42 41  B024 kuntza024bor2006 368.15 270  167   43.02 -126.69 12.4  4.8 2012.270_4.8
 2012 10  3  2 13  8  B024 kuntza024bor2006 471.64 277  168   44.09 -129.42 17.9  4.9 2012.277_4.9
 2012 10  3  8 16 40  B024 kuntza024bor2006 468.55 277  169   44.18 -129.43 12.0  5.0 2012.277_5.0
 2012 10 26 14 18 22  B024 kuntza024bor2006 473.08 300  171   42.08 -127.10 21.1  4.7 2012.300_4.7
 2013  1 30  3 14 29  B024 kuntza024bor2006 396.83 030  174   43.47 -127.83 12.0  5.4 2013.030_5.4
 2013  2 27 22 25 43  B024 kuntza024bor2006 372.71 058  176   43.03 -126.80 12.0  5.2 2013.058_5.2
 2013  7 20 17 20 56  B024 kuntza024bor2006 364.59 201  180   43.13 -126.81 16.2  4.8 2013.201_4.8
 2013  8 10  5 10 19  B024 kuntza024bor2006 425.66 222  182   43.63 -128.43 19.6  4.8 2013.222_4.8
 2014  3 13 19 11 36  B024 kuntza024bor2006 483.24 072  186   42.00 -127.16 12.3  5.5 2014.072_5.5
 2004  7 12 16 45  4  B026 roosbc026bor2007 133.64 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004 12 22 20 47 27  B026 roosbc026bor2007 413.15 357   17   42.40 -127.03 12.0  5.1 2004.357_5.1
 2005  3  7  2 34 35  B026 roosbc026bor2007 391.09 066   22   42.51 -126.78 16.2  5.3 2005.066_5.3
 2005  3  7  2 48 22  B026 roosbc026bor2007 393.36 066   23   42.49 -126.79 15.9  5.2 2005.066_5.2
 2006  1 11 10  2 35  B026 roosbc026bor2007 360.75 011   34   43.33 -127.41 17.9  5.5 2006.011_5.5
 2006  3 25 20 14  5  B026 roosbc026bor2007 444.85 084   37   41.73 -126.30 16.1  5.0 2006.084_5.0
 2006  3 25  3 16  7  B026 roosbc026bor2007 435.90 084   36   41.82 -126.30 15.7  5.1 2006.084_5.1
 2006  5 27 21 50 49  B026 roosbc026bor2007 407.30 147   40   43.62 -128.37 16.7  4.9 2006.147_4.9
 2006  8 31 15 22 20  B026 roosbc026bor2007 424.30 243   41   43.81 -128.74 14.2  4.8 2006.243_4.8
 2007  1 31 15 24 50  B026 roosbc026bor2007 409.53 031   43   42.43 -127.01 16.9  4.8 2007.031_4.8
 2007  1 31 15 38 36  B026 roosbc026bor2007 388.09 031   44   42.60 -126.88 13.8  4.6 2007.031_4.6
 2007  2 11 15 34 49  B026 roosbc026bor2007 381.30 042   45   43.33 -127.73 20.6  5.0 2007.042_5.0
 2007  2 14 22 12 60  B026 roosbc026bor2007 370.72 045   46   43.39 -127.63 12.0  5.2 2007.045_5.2
 2007  4 29  0 49  6  B026 roosbc026bor2007 357.72 119   48   43.20 -127.21 15.4  4.8 2007.119_4.8
 2007  6 25  2 32 29  B026 roosbc026bor2007 477.09 176   50   41.08 -124.87 22.5  5.0 2007.176_5.0
 2007  7 27  1 37 48  B026 roosbc026bor2007 493.62 208   51   44.16 -129.85 12.0  5.2 2007.208_5.2
 2007  7 27  1 45 28  B026 roosbc026bor2007 498.61 208   52   44.10 -129.89 17.7  5.3 2007.208_5.3
 2007  7 27 23 22 51  B026 roosbc026bor2007 487.72 208   53   44.25 -129.81 12.0  5.3 2007.208_5.3
 2007 10 10  0 15 15  B026 roosbc026bor2007 394.76 283   54   43.43 -128.03 17.7  5.0 2007.283_5.0
 2007 11 19 20 32 50  B026 roosbc026bor2007 380.60 323   56   43.35 -127.74 19.0  5.8 2007.323_5.8
 2007 11 19 22 43  3  B026 roosbc026bor2007 388.68 323   57   43.42 -127.93 19.3  5.0 2007.323_5.0
 2008  1 10  1 37 24  B026 roosbc026bor2007 406.42 010   59   43.51 -128.27 16.8  6.3 2008.010_6.3
 2008  3 15 14 44 38  B026 roosbc026bor2007 419.55 075   68   42.35 -127.07 12.9  5.7 2008.075_5.7
 2008  4  2  5 55 42  B026 roosbc026bor2007 471.27 093   69   44.08 -129.52 12.0  5.2 2008.093_5.2
 2008  4 10  8  4 31  B026 roosbc026bor2007 422.65 101   70   43.83 -128.73 12.0  5.3 2008.101_5.3
 2008  4 12 12  5 15  B026 roosbc026bor2007 387.94 103   71   43.42 -127.92 12.3  5.5 2008.103_5.5
 2008  4 14  5 38 34  B026 roosbc026bor2007 465.59 105   72   44.07 -129.44 12.0  5.1 2008.105_5.1
 2008  4 30  3  3  8  B026 roosbc026bor2007 497.49 121   75   40.83 -123.62 28.0  5.4 2008.121_5.4
 2008  5  4  2 51 14  B026 roosbc026bor2007 342.70 125   76   42.99 -126.65 12.0  5.1 2008.125_5.1
 2008  5 24 23 23  8  B026 roosbc026bor2007 467.81 145   77   44.01 -129.44 12.3  5.1 2008.145_5.1
 2008  6  2 17 50 25  B026 roosbc026bor2007 467.48 154   78   43.96 -129.41 12.0  5.2 2008.154_5.2
 2008  6 14  6 47  9  B026 roosbc026bor2007 461.42 166   79   44.00 -129.35 13.6  5.2 2008.166_5.2
 2008  6 29 19 33 41  B026 roosbc026bor2007 464.80 181   80   44.03 -129.41 12.0  5.4 2008.181_5.4
 2008  7 12 15 46  2  B026 roosbc026bor2007 349.75 194   81   43.05 -126.87 18.5  5.0 2008.194_5.0
 2008  7 17 18 21 42  B026 roosbc026bor2007 464.08 199   82   44.09 -129.43 17.1  5.0 2008.199_5.0
 2008  7 17 22 36 18  B026 roosbc026bor2007 466.07 199   83   44.12 -129.47 12.0  5.4 2008.199_5.4
 2008  7 17 22 43  2  B026 roosbc026bor2007 472.46 199   84   44.11 -129.55 19.1  5.2 2008.199_5.2
 2008  7 17 22 51 57  B026 roosbc026bor2007 473.93 199   85   44.09 -129.56 14.1  5.7 2008.199_5.7
 2008  7 19  1  0 23  B026 roosbc026bor2007 459.44 201   86   44.18 -129.41 13.5  5.0 2008.201_5.0
 2008  9 11 23 13 34  B026 roosbc026bor2007 465.40 255   89   47.45 -129.03 12.0  5.1 2008.255_5.1
 2008  9 11 23 26 28  B026 roosbc026bor2007 466.60 255   90   47.46 -129.04 12.0  5.2 2008.255_5.2
 2008 11 14  1 48 40  B026 roosbc026bor2007 373.34 319   92   43.40 -127.68 13.7  5.3 2008.319_5.3
 2009  4 16  4 18 32  B026 roosbc026bor2007 469.00 106   97   43.94 -129.42 20.2  5.0 2009.106_5.0
 2009  8 29 10 11 16  B026 roosbc026bor2007 420.21 241   99   43.90 -128.74 12.0  5.1 2009.241_5.1
 2009  8 29 10 24 12  B026 roosbc026bor2007 416.74 241  100   43.88 -128.68 18.9  5.0 2009.241_5.0
 2009  8 29 13  5 54  B026 roosbc026bor2007 419.51 241  101   43.95 -128.76 17.0  4.8 2009.241_4.8
 2009 11  4 12 38 29  B026 roosbc026bor2007 346.32 308  106   43.24 -127.07 12.9  5.3 2009.308_5.3
 2009 12 15  3 34  5  B026 roosbc026bor2007 425.76 349  107   43.81 -128.76 12.0  4.7 2009.349_4.7
 2010  3 13  4 53 41  B026 roosbc026bor2007 465.98 072  111   44.08 -129.45 12.0  5.0 2010.072_5.0
 2010  5  7 17 46 14  B026 roosbc026bor2007 483.08 127  117   44.11 -129.69 14.9  5.5 2010.127_5.5
 2010  5  7 18 41 57  B026 roosbc026bor2007 488.51 127  118   44.13 -129.77 12.6  5.1 2010.127_5.1
 2010  5  7 20  2 19  B026 roosbc026bor2007 483.52 127  119   44.12 -129.70 12.6  5.0 2010.127_5.0
 2010  5 13  5 35 14  B026 roosbc026bor2007 418.79 133  122   42.20 -126.77 14.7  5.3 2010.133_5.3
 2010  7 28 16 12  7  B026 roosbc026bor2007 249.00 209  126   43.72 -126.03 12.0  5.2 2010.209_5.2
 2010 10 13 10 50 26  B026 roosbc026bor2007 467.19 286  130   41.81 -127.04 20.9  4.8 2010.286_4.8
 2010 11 21 23 46 36  B026 roosbc026bor2007 374.12 325  131   43.40 -127.69 21.0  5.0 2010.325_5.0
 2011  2  8 22  2  2  B026 roosbc026bor2007 366.57 039  134   43.31 -127.48 18.3  5.4 2011.039_5.4
 2011  2  8  7 44 35  B026 roosbc026bor2007 394.27 039  133   43.46 -128.05 15.6  4.8 2011.039_4.8
 2011  3  6 21 35 48  B026 roosbc026bor2007 470.35 065  136   44.15 -129.54 12.0  5.0 2011.065_5.0
 2011  3  6 22 23 17  B026 roosbc026bor2007 469.22 065  137   44.23 -129.56 12.9  5.0 2011.065_5.0
 2011  3  8  1 26 59  B026 roosbc026bor2007 458.69 067  138   44.18 -129.40 12.0  5.1 2011.067_5.1
 2011  5 22  7 21 36  B026 roosbc026bor2007 365.41 142  140   43.30 -127.45 19.9  4.9 2011.142_4.9
 2011  6 18 10 49 12  B026 roosbc026bor2007 460.68 169  141   41.93 -127.14 12.0  5.2 2011.169_5.2
 2011  8  5 15 10  2  B026 roosbc026bor2007 446.47 217  142   43.89 -129.09 17.4  4.8 2011.217_4.8
 2011  9  1  2  6 22  B026 roosbc026bor2007 380.73 244  144   43.34 -127.73 23.9  4.8 2011.244_4.8
 2011 10 13  4 14  1  B026 roosbc026bor2007 365.36 286  146   43.29 -127.44 13.7  5.6 2011.286_5.6
 2012  2  4 20  5 32  B026 roosbc026bor2007 497.51 035  148   48.66 -128.17 12.0  5.6 2012.035_5.6
 2012  2 13 21  7  6  B026 roosbc026bor2007 460.78 044  149   41.16 -123.79 29.3  5.6 2012.044_5.6
 2012  2 15  3 31 22  B026 roosbc026bor2007 373.39 046  150   43.40 -127.68 17.9  5.9 2012.046_5.9
 2012  4 11 22 41 48  B026 roosbc026bor2007 389.27 102  152   43.40 -127.92 19.6  6.0 2012.102_6.0
 2012  6 19 13 40 58  B026 roosbc026bor2007 364.42 171  153   43.36 -127.50 18.5  5.3 2012.171_5.3
 2012  7  6 17 50 26  B026 roosbc026bor2007 376.30 188  157   43.45 -127.77 24.4  4.8 2012.188_4.8
 2012  8  8 17 45 40  B026 roosbc026bor2007 490.81 221  160   44.20 -129.83 12.0  5.3 2012.221_5.3
 2012  8  9  4 18 18  B026 roosbc026bor2007 489.54 222  161   44.29 -129.85 18.2  4.8 2012.222_4.8
 2012  8 19 10  4  3  B026 roosbc026bor2007 472.59 232  163   47.57 -129.04 14.7  5.0 2012.232_5.0
 2012  8 19  8  7 36  B026 roosbc026bor2007 467.10 232  162   47.42 -129.08 15.0  5.6 2012.232_5.6
 2012  9 14 20 24 21  B026 roosbc026bor2007 463.41 258  166   43.93 -129.34 19.3  4.9 2012.258_4.9
 2012  9 26  7 42 41  B026 roosbc026bor2007 342.30 270  167   43.02 -126.69 12.4  4.8 2012.270_4.8
 2012 10  3  2 13  8  B026 roosbc026bor2007 463.33 277  168   44.09 -129.42 17.9  4.9 2012.277_4.9
 2012 10  3  8 16 40  B026 roosbc026bor2007 460.97 277  169   44.18 -129.43 12.0  5.0 2012.277_5.0
 2012 10 26 14 18 22  B026 roosbc026bor2007 445.17 300  171   42.08 -127.10 21.1  4.7 2012.300_4.7
 2013  1 30  3 14 29  B026 roosbc026bor2007 378.81 030  174   43.47 -127.83 12.0  5.4 2013.030_5.4
 2013  2 27 22 25 43  B026 roosbc026bor2007 347.41 058  176   43.03 -126.80 12.0  5.2 2013.058_5.2
 2013  7 20 17 20 56  B026 roosbc026bor2007 339.90 201  180   43.13 -126.81 16.2  4.8 2013.201_4.8
 2013  8 10  5 10 19  B026 roosbc026bor2007 411.04 222  182   43.63 -128.43 19.6  4.8 2013.222_4.8
 2013 12  1  3 19 40  B026 roosbc026bor2007 479.56 335  184   41.74 -127.17 14.4  5.5 2013.335_5.5
 2014  3 13 19 11 36  B026 roosbc026bor2007 455.25 072  186   42.00 -127.16 12.3  5.5 2014.072_5.5
 2004  7 12 16 45  4  B027 lester027bor2007 142.18 194    4   44.30 -124.71 20.0  4.9 2004.194_4.9
 2004 12 22 20 47 27  B027 lester027bor2007 403.04 357   17   42.40 -127.03 12.0  5.1 2004.357_5.1
 2005  3  7  2 34 35  B027 lester027bor2007 379.34 066   22   42.51 -126.78 16.2  5.3 2005.066_5.3
 2005  3  7  2 48 22  B027 lester027bor2007 381.32 066   23   42.49 -126.79 15.9  5.2 2005.066_5.2
 2005  3 18  7 24  2  B027 lester027bor2007 480.71 077   24   40.40 -124.86 21.6  4.9 2005.077_4.9
 2005  6 15  2 51  5  B027 lester027bor2007 466.66 166   27   41.15 -126.42 20.4  7.2 2005.166_7.2
 2006  1 11 10  2 35  B027 lester027bor2007 379.86 011   34   43.33 -127.41 17.9  5.5 2006.011_5.5
 2006  3 25 20 14  5  B027 lester027bor2007 409.94 084   37   41.73 -126.30 16.1  5.0 2006.084_5.0
 2006  3 25  3 16  7  B027 lester027bor2007 402.38 084   36   41.82 -126.30 15.7  5.1 2006.084_5.1
 2006  5 27 21 50 49  B027 lester027bor2007 443.71 147   40   43.62 -128.37 16.7  4.9 2006.147_4.9
 2006  8 31 15 22 20  B027 lester027bor2007 467.99 243   41   43.81 -128.74 14.2  4.8 2006.243_4.8
 2007  1 31 15 24 50  B027 lester027bor2007 399.77 031   43   42.43 -127.01 16.9  4.8 2007.031_4.8
 2007  1 31 15 38 36  B027 lester027bor2007 380.09 031   44   42.60 -126.88 13.8  4.6 2007.031_4.6
 2007  2 11 15 34 49  B027 lester027bor2007 404.08 042   45   43.33 -127.73 20.6  5.0 2007.042_5.0
 2007  2 14 22 12 60  B027 lester027bor2007 394.12 045   46   43.39 -127.63 12.0  5.2 2007.045_5.2
 2007  2 26 12 20  0  B027 lester027bor2007 457.71 057   47   40.63 -124.90 15.9  5.4 2007.057_5.4
 2007  4 29  0 49  6  B027 lester027bor2007 370.51 119   48   43.20 -127.21 15.4  4.8 2007.119_4.8
 2007  5  9  7 50  9  B027 lester027bor2007 491.08 129   49   40.34 -125.01 19.4  5.4 2007.129_5.4
 2007  6 25  2 32 29  B027 lester027bor2007 410.27 176   50   41.08 -124.87 22.5  5.0 2007.176_5.0
 2007 10 10  0 15 15  B027 lester027bor2007 423.30 283   54   43.43 -128.03 17.7  5.0 2007.283_5.0
 2007 11 19 20 32 50  B027 lester027bor2007 404.05 323   56   43.35 -127.74 19.0  5.8 2007.323_5.8
 2007 11 19 22 43  3  B027 lester027bor2007 415.99 323   57   43.42 -127.93 19.3  5.0 2007.323_5.0
 2008  1 10  1 37 24  B027 lester027bor2007 439.18 010   59   43.51 -128.27 16.8  6.3 2008.010_6.3
 2008  1 19 23 13 10  B027 lester027bor2007 473.03 019   60   40.24 -122.69 20.5  4.9 2008.019_4.9
 2008  3 15 14 44 38  B027 lester027bor2007 409.00 075   68   42.35 -127.07 12.9  5.7 2008.075_5.7
 2008  4 10  8  4 31  B027 lester027bor2007 466.78 101   70   43.83 -128.73 12.0  5.3 2008.101_5.3
 2008  4 12 12  5 15  B027 lester027bor2007 415.18 103   71   43.42 -127.92 12.3  5.5 2008.103_5.5
 2008  4 30  3  3  8  B027 lester027bor2007 410.94 121   75   40.83 -123.62 28.0  5.4 2008.121_5.4
 2008  5  4  2 51 14  B027 lester027bor2007 340.83 125   76   42.99 -126.65 12.0  5.1 2008.125_5.1
