sta4 year mo dy hr mi sec geodkm
B066 2004 9 29 22 54 57 303.50
B067 2004 9 29 22 54 57 296.27
B072 2004 9 29 22 54 57 153.94
B073 2004 9 29 22 54 57 168.85
B075 2004 9 29 22 54 57 171.90
B076 2004 9 29 22 54 57 164.62
B078 2004 9 29 22 54 57 154.18
B079 2004 9 29 22 54 57 138.45
B081 2004 9 29 22 54 57 264.18
B082 2004 9 29 22 54 57 280.76
B084 2004 9 29 22 54 57 288.80
B086 2004 9 29 22 54 57 288.19
B087 2004 9 29 22 54 57 288.66
B088 2004 9 29 22 54 57 297.65
B089 2004 9 29 22 54 57 280.62
B093 2004 9 29 22 54 57 270.62
B900 2004 9 29 22 54 57 119.93
B901 2004 9 29 22 54 57 132.18
B916 2004 9 29 22 54 57 130.03
B917 2004 9 29 22 54 57 134.20
B918 2004 9 29 22 54 57 118.25
B921 2004 9 29 22 54 57 117.27
B054 2004 9 30 18 54 32 250.60
B057 2004 9 30 18 54 32 284.82
B058 2004 9 30 18 54 32 125.77
B065 2004 9 30 18 54 32 114.74
B066 2004 9 30 18 54 32 130.96
B067 2004 9 30 18 54 32 122.19
B072 2004 9 30 18 54 32 31.69
B073 2004 9 30 18 54 32 17.37
B075 2004 9 30 18 54 32 16.85
B076 2004 9 30 18 54 32 20.13
B078 2004 9 30 18 54 32 31.19
B079 2004 9 30 18 54 32 48.71
B081 2004 9 30 18 54 32 435.48
B082 2004 9 30 18 54 32 451.76
B084 2004 9 30 18 54 32 461.19
B086 2004 9 30 18 54 32 459.29
B087 2004 9 30 18 54 32 458.29
B088 2004 9 30 18 54 32 465.50
B089 2004 9 30 18 54 32 451.64
B093 2004 9 30 18 54 32 439.84
B900 2004 9 30 18 54 32 64.33
B901 2004 9 30 18 54 32 54.62
B916 2004 9 30 18 54 32 262.09
B917 2004 9 30 18 54 32 307.70
B918 2004 9 30 18 54 32 267.93
B921 2004 9 30 18 54 32 284.99
B001 2004 11 2 9 30 47 454.95
B003 2004 11 2 9 30 47 383.25
B004 2004 11 2 9 30 47 358.06
B005 2004 11 2 9 30 47 428.11
B006 2004 11 2 9 30 47 428.31
B007 2004 11 2 9 30 47 428.12
B009 2004 11 2 9 30 47 415.97
B010 2004 11 2 9 30 47 415.93
B011 2004 11 2 9 30 47 416.17
B012 2004 11 2 9 30 47 260.03
B013 2004 11 2 9 30 47 478.79
B014 2004 11 2 9 30 47 430.02
B017 2004 11 2 9 30 47 475.02
B019 2004 11 2 9 30 47 490.48
B020 2004 11 2 9 30 47 497.34
B926 2004 11 2 9 30 47 363.83
B927 2004 11 2 9 30 47 311.14
B928 2004 11 2 9 30 47 290.86
B943 2004 11 2 9 30 47 478.75
B001 2004 11 2 10 2 16 459.27
B003 2004 11 2 10 2 16 387.70
B004 2004 11 2 10 2 16 362.47
B005 2004 11 2 10 2 16 432.46
B006 2004 11 2 10 2 16 432.67
B007 2004 11 2 10 2 16 432.48
B009 2004 11 2 10 2 16 419.93
B010 2004 11 2 10 2 16 419.89
B011 2004 11 2 10 2 16 420.13
B012 2004 11 2 10 2 16 263.96
B013 2004 11 2 10 2 16 483.19
B014 2004 11 2 10 2 16 434.67
B017 2004 11 2 10 2 16 479.80
B019 2004 11 2 10 2 16 495.33
B926 2004 11 2 10 2 16 367.71
B927 2004 11 2 10 2 16 314.64
B928 2004 11 2 10 2 16 294.84
B943 2004 11 2 10 2 16 483.15
B001 2004 11 2 14 3 42 473.34
B003 2004 11 2 14 3 42 400.73
B004 2004 11 2 14 3 42 375.97
B005 2004 11 2 14 3 42 446.24
B006 2004 11 2 14 3 42 446.44
B007 2004 11 2 14 3 42 446.24
B009 2004 11 2 14 3 42 436.73
B010 2004 11 2 14 3 42 436.69
B011 2004 11 2 14 3 42 436.93
B012 2004 11 2 14 3 42 281.38
B013 2004 11 2 14 3 42 496.40
B014 2004 11 2 14 3 42 445.14
B017 2004 11 2 14 3 42 488.14
B926 2004 11 2 14 3 42 385.09
B927 2004 11 2 14 3 42 334.10
B928 2004 11 2 14 3 42 311.82
B943 2004 11 2 14 3 42 496.35
B001 2004 11 2 17 23 44 450.67
B003 2004 11 2 17 23 44 380.01
B004 2004 11 2 17 23 44 354.47
B005 2004 11 2 17 23 44 424.13
B006 2004 11 2 17 23 44 424.33
B007 2004 11 2 17 23 44 424.15
B009 2004 11 2 17 23 44 409.24
B010 2004 11 2 17 23 44 409.19
B011 2004 11 2 17 23 44 409.43
B012 2004 11 2 17 23 44 253.04
B013 2004 11 2 17 23 44 475.24
B014 2004 11 2 17 23 44 428.86
B017 2004 11 2 17 23 44 475.52
B019 2004 11 2 17 23 44 492.35
B926 2004 11 2 17 23 44 356.62
B927 2004 11 2 17 23 44 301.91
B928 2004 11 2 17 23 44 284.21
B943 2004 11 2 17 23 44 475.19
B022 2004 12 22 20 47 27 465.80
B024 2004 12 22 20 47 27 440.26
B026 2004 12 22 20 47 27 413.15
B027 2004 12 22 20 47 27 403.04
B028 2004 12 22 20 47 27 402.70
B030 2004 12 22 20 47 27 387.41
B031 2004 12 22 20 47 27 327.67
B032 2004 12 22 20 47 27 328.06
B033 2004 12 22 20 47 27 334.11
B035 2004 12 22 20 47 27 300.13
B036 2004 12 22 20 47 27 300.27
B039 2004 12 22 20 47 27 390.72
B040 2004 12 22 20 47 27 386.18
B045 2004 12 22 20 47 27 334.33
B933 2004 12 22 20 47 27 365.01
