# 
# Barbour and Crowell (2016)
# Regression biases estimated by linear mixed-effects regression (lme)
# 
# 	'LME'		the lmer identifier
# 	'Effect'	the random effect identifier (group)
# 	'Term'		the identifier within the random effect group (e.g., station name or earthquake ID)
# 	'Bias'		fixed mean bias estimate
# 	'Std.error'	standard error associated with 'Bias' from the conditional covariance matrix
#  
 LME                    Effect     Term         Bias       Std.error
 Earthquake             Earthquake 2013.089_4.9  0.313     0.0577   
 Earthquake             Earthquake 2010.142_5.1  0.327     0.0647   
 Earthquake             Earthquake 2010.095_5.0  0.329     0.0647   
 Earthquake             Earthquake 2009.276_4.9  0.344     0.0436   
 Earthquake             Earthquake 2012.295_5.4  0.353     0.0445   
 Earthquake             Earthquake 2012.239_5.4  0.354     0.0647   
 Earthquake             Earthquake 2010.166_5.8  0.361     0.0621   
 Earthquake             Earthquake 2008.019_4.9  0.365     0.0647   
 Earthquake             Earthquake 2010.128_5.0  0.372     0.0647   
 Earthquake             Earthquake 2009.364_5.9  0.374     0.0677   
 Earthquake             Earthquake 2013.149_4.9  0.379     0.0436   
 Earthquake             Earthquake 2011.300_4.9  0.382     0.0436   
 Earthquake             Earthquake 2010.098_5.4  0.412     0.0647   
 Earthquake             Earthquake 2012.239_5.5  0.416     0.0647   
 Earthquake             Earthquake 2008.042_5.1  0.444     0.0932   
 Earthquake             Earthquake 2008.040_5.1  0.459     0.0752   
 Earthquake             Earthquake 2009.274_5.1  0.472     0.0436   
 Earthquake             Earthquake 2007.304_5.6  0.491     0.0598   
 Earthquake             Earthquake 2010.095_5.1  0.495     0.0647   
 Earthquake             Earthquake 2010.257_5.0  0.506     0.0712   
 Earthquake             Earthquake 2013.144_5.7  0.518     0.0436   
 Earthquake             Earthquake 2008.117_5.0  0.526     0.0511   
 Earthquake             Earthquake 2010.188_5.5  0.584     0.0498   
 Earthquake             Earthquake 2008.341_5.1  0.632     0.0498   
 Earthquake             Earthquake 2008.211_5.5  0.636     0.0474   
 Station.and.Earthquake Station    B058         -0.282     0.0439   
 Station.and.Earthquake Station    B035         -0.265     0.028    
 Station.and.Earthquake Station    B054         -0.241     0.0419   
 Station.and.Earthquake Station    B065         -0.199     0.0449   
 Station.and.Earthquake Station    B036         -0.188     0.029    
 Station.and.Earthquake Station    B057         -0.183     0.0411   
 Station.and.Earthquake Station    B935         -0.169     0.0335   
 Station.and.Earthquake Station    B928         -0.167     0.0483   
 Station.and.Earthquake Station    B067         -0.141     0.0449   
 Station.and.Earthquake Station    B039         -0.131     0.0309   
