eqnum	year	mo	dy	hr	mi	sec	nlat	elon	depkm	Mw
144	2011	9	1	2	6	21.7	43.34	-127.73	23.9	4.8
145	2011	9	9	19	41	36.5	49.27	-127.17	25.1	6.5
146	2011	10	13	4	14	0.6	43.29	-127.44	13.7	5.6
147	2011	10	27	6	37	13.5	39.65	-120.32	32.7	4.9
148	2012	2	4	20	5	32.3	48.66	-128.17	12.0	5.6
149	2012	2	13	21	7	6.2	41.16	-123.79	29.3	5.6
150	2012	2	15	3	31	22.3	43.40	-127.68	17.9	5.9
151	2012	2	16	6	37	32.3	48.80	-128.13	14.3	4.9
152	2012	4	11	22	41	48.5	43.40	-127.92	19.6	6.0
153	2012	6	19	13	40	58.4	43.36	-127.50	18.5	5.3
154	2012	6	27	4	22	33.1	49.10	-129.60	18.8	5.1
155	2012	7	1	3	25	21.1	32.23	-115.37	18.4	4.8
156	2012	7	1	6	36	7.9	32.18	-115.24	12.0	4.8
157	2012	7	6	17	50	26.4	43.45	-127.77	24.4	4.8
158	2012	7	21	1	52	4.1	40.39	-125.45	16.7	5.2
159	2012	7	21	6	4	27.0	40.41	-125.38	19.0	5.4
160	2012	8	8	17	45	40.1	44.20	-129.83	12.0	5.3
161	2012	8	9	4	18	17.5	44.29	-129.85	18.2	4.8
162	2012	8	19	8	7	36.0	47.42	-129.08	15.0	5.6
163	2012	8	19	10	4	2.8	47.57	-129.04	14.7	5.0
164	2012	8	26	19	32	25.7	32.92	-115.59	12.0	5.4
165	2012	8	26	20	58	1.3	32.95	-115.56	12.0	5.5
166	2012	9	14	20	24	20.6	43.93	-129.34	19.3	4.9
167	2012	9	26	7	42	41.4	43.02	-126.69	12.4	4.8
168	2012	10	3	2	13	8.5	44.09	-129.42	17.9	4.9
169	2012	10	3	8	16	39.9	44.18	-129.43	12.0	5.0
170	2012	10	21	6	55	13.8	36.27	-120.89	12.0	5.4
171	2012	10	26	14	18	22.1	42.08	-127.10	21.1	4.7
172	2012	11	8	2	1	50.8	48.90	-128.85	12.0	6.2
173	2013	1	7	3	33	22.8	48.72	-129.20	27.2	4.8
174	2013	1	30	3	14	28.6	43.47	-127.83	12.0	5.4
